시설번호,시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,설치연도,출수압력,관할기관명,관할기관전화번호,데이터기준일자,geometry,index_right,BASE_DATE,ADM_CD,ADM_NM
중부-남산-상1-1-29,1,대구광역시,중구,27110,대구광역시 중구 명덕로 85,대구광역시 중구 남산4동 2268-1,35.8578536601,128.580265494,대성에너지 주차장 앞,남산119안전센터,Y,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.580265494 35.8578536601),1136,20240630,22010670,남산4동
중부-남산-상1-1-30,1,대구광역시,중구,27110,대구광역시 중구 명덕로 97,대구광역시 중구 남산4동 2267-26,35.8573616372,128.5811212669,대한불교법연종 대구교구 앞,남산119안전센터,N,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5811212669 35.8573616372),1136,20240630,22010670,남산4동
중부-남산-상1-1-31,1,대구광역시,중구,27110,대구광역시 중구 명덕로 111,대구광역시 중구 남산4동 2266-1,35.8568432482,128.5824321311,현대자동차건물 앞,남산119안전센터,Y,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5824321311 35.8568432482),1136,20240630,22010670,남산4동
중부-남산-상1-1-32,1,대구광역시,중구,27110,대구광역시 중구 남산로 7길 7,대구광역시 중구 남산동 3012,35.8586896515,128.5823261448,남산역 화성파크드림 103동 앞,남산119안전센터,Y,1971,3.9,중부소방서,053-601-4571,2024-02-07,POINT (128.5823261448 35.8586896515),1136,20240630,22010670,남산4동
중부-남산-상1-1-33,1,대구광역시,중구,27110,대구광역시 중구 남산로 7길 32,대구광역시 중구 남산4동 2488-4,35.8587221753,128.5808461,모던블랑 미용실 앞,남산119안전센터,N,1991,3.3,중부소방서,053-601-4571,2024-02-07,POINT (128.5808461 35.8587221753),1136,20240630,22010670,남산4동
중부-남산-하1-1-34,2,대구광역시,중구,27110,대구광역시 중구 남산로 35,대구광역시 중구 남산4동 2466,35.8597034548,128.5823729765,홍손짜장건물 앞,남산119안전센터,N,1991,3.9,중부소방서,053-601-4571,2024-02-07,POINT (128.5823729765 35.8597034548),1136,20240630,22010670,남산4동
중부-남산-상1-1-35,1,대구광역시,중구,27110,대구광역시 중구 남산로 63,대구광역시 중구 남산4동 107-26,35.86220111,128.5822659272,대구은행 북편10M,남산119안전센터,Y,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5822659272 35.86220111),1136,20240630,22010670,남산4동
중부-남산-상1-1-38,1,대구광역시,중구,27110,대구광역시 중구 달구벌대로 1988,대구광역시 중구 남산4동 94-31,35.8643600724,128.5816711,신남역 2번 출구앞,남산119안전센터,N,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5816711 35.8643600724),1136,20240630,22010670,남산4동
중부-남산-하1-1-39,2,대구광역시,중구,27110,대구광역시 중구 남산로 3길 19,대구광역시 중구 남산4동 2623-11,35.8600503949,128.578379922,LG미도전자 앞,남산119안전센터,N,1988,3.5,중부소방서,053-601-4571,2024-02-07,POINT (128.578379922 35.8600503949),1136,20240630,22010670,남산4동
중부-남산-하1-1-40,2,대구광역시,중구,27110,대구광역시 중구 남산로 17길 18,대구광역시 중구 남산4동 2654-10,35.8635860132,128.581307684,정다운 축산 옆 건너편,남산119안전센터,N,1991,3.5,중부소방서,053-601-4571,2024-02-07,POINT (128.581307684 35.8635860132),1136,20240630,22010670,남산4동
중부-남산-상1-1-41,1,대구광역시,중구,27110,대구광역시 중구 남산로 17길 39,대구광역시 중구 남산4동 2651-6,35.8626521122,128.5807222117,청라센트럴파크 입구 옆,남산119안전센터,N,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5807222117 35.8626521122),1136,20240630,22010670,남산4동
중부-남산-상1-1-42,1,대구광역시,중구,27110,대구광역시 중구 달구벌대로 1960,대구광역시 중구 남산4동 2638-10,35.8631729575,128.5781741603,휴먼시아 1단지 101동 후문,남산119안전센터,N,1991,3.9,중부소방서,053-601-4571,2024-02-07,POINT (128.5781741603 35.8631729575),1136,20240630,22010670,남산4동
중부-남산-하1-1-43,2,대구광역시,중구,27110,대구광역시 중구 남산로 7길 107-1,대구광역시 중구 남산4동 2635-30,35.86127411,128.5784791,대정식당 앞,남산119안전센터,N,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5784791 35.86127411),1136,20240630,22010670,남산4동
중부-남산-하1-1-44,2,대구광역시,중구,27110,대구광역시 중구 남산로7길 86,대구광역시 중구 남산4동 2482-455,35.8604508137,128.5792202258,보나유치원 앞,남산119안전센터,N,1991,3.9,중부소방서,053-601-4571,2024-02-07,POINT (128.5792202258 35.8604508137),1136,20240630,22010670,남산4동
중부-남산-상1-1-46,1,대구광역시,남구,27200,대구광역시 남구 명덕로 14길 5,대구광역시 남구 대명3동 2570-2,35.8582750541,128.5774737449,대명시장 내 대명한우촌 앞,남산119안전센터,N,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5774737449 35.8582750541),1065,20240630,22040580,대명3동
중부-남산-상1-1-47,1,대구광역시,남구,27200,대구광역시 남구 명덕로 14길 17,대구광역시 남구 대명동 2563-78,35.85770911,128.5771761,대명시장 내 다올돈가스 앞,남산119안전센터,N,1988,4.1,중부소방서,053-601-4571,2024-02-07,POINT (128.5771761 35.85770911),1065,20240630,22040580,대명3동
중부-남산-하1-1-48,2,대구광역시,중구,27110,대구광역시 중구 남산로 3길 52,대구광역시 중구 남산4동 2633-2,35.8609144449,128.5776381,남산경대의원 앞,남산119안전센터,N,1988,3.8,중부소방서,053-601-4571,2024-02-07,POINT (128.5776381 35.8609144449),1136,20240630,22010670,남산4동
중부-남산-상1-1-51,1,대구광역시,중구,27110,대구광역시 중구 달구벌대로 1926,대구광역시 중구 남산4동 2967-4,35.86259611,128.5752941,중부소방서 차고내,남산119안전센터,N,1988,3.7,중부소방서,053-601-4571,2024-02-07,POINT (128.5752941 35.86259611),1136,20240630,22010670,남산4동
중부-남산-하1-1-52,2,대구광역시,중구,27110,대구광역시 중구 남산로 12길 3,대구광역시 중구 남산3동 110-2,35.8617702198,128.5828459175,양지부동산 앞,남산119안전센터,N,1971,3.6,중부소방서,053-601-4571,2024-02-07,POINT (128.5828459175 35.8617702198),685,20240630,22010660,남산3동
중부-남산-하1-1-53,2,대구광역시,중구,27110,대구광역시 중구 남산로 12길 21,대구광역시 중구 남산3동 2439-9,35.8618055412,128.5837417658,보성송림후문 앞,남산119안전센터,N,1991,3.9,중부소방서,053-601-4571,2024-02-07,POINT (128.5837417658 35.8618055412),685,20240630,22010660,남산3동
중부-남산-상1-1-54,1,대구광역시,중구,27110,대구광역시 중구 남산로 39,대구광역시 중구 남산3동 2449-3,35.8600878662,128.5823743085,남산극동아파트 상가 앞,남산119안전센터,N,1971,4.1,중부소방서,053-601-4571,2024-02-07,POINT (128.5823743085 35.8600878662),1136,20240630,22010670,남산4동
중부-남산-상1-1-55,1,대구광역시,중구,27110,대구광역시 중구 남산로22,대구광역시 중구 남산3동 2501-25,35.85846111,128.5830170264,그린마트 앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5830170264 35.85846111),685,20240630,22010660,남산3동
중부-남산-상1-1-56,1,대구광역시,중구,27110,대구광역시 중구 재마루길 110,대구광역시 중구 남산2동 101,35.8638120961,128.5828618385,뉴대구 광고사 간판 앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5828618385 35.8638120961),3540,20240630,22010650,남산2동
중부-남산-하1-1-57,2,대구광역시,중구,27110,대구광역시 중구 남산로4길 79,대구광역시 중구 남산3동 2427-4,35.8604429202,128.5854425891,평화문화사 앞,남산119안전센터,N,1991,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5854425891 35.8604429202),685,20240630,22010660,남산3동
중부-남산-하1-1-58,2,대구광역시,중구,27110,대구광역시 중구 남산로4길 64,대구광역시 중구 남산3동 2208-37,35.8597015365,128.5854434309,새마을금고앞,남산119안전센터,N,1991,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5854434309 35.8597015365),685,20240630,22010660,남산3동
중부-남산-하1-1-59,2,대구광역시,중구,27110,대구광역시 중구 남산로 4길 3,대구광역시 중구 남산3동 2377-8,35.8572228939,128.5844911,삼화페인트 앞,남산119안전센터,N,1991,4.1,중부소방서,053-601-4571,2024-02-07,POINT (128.5844911 35.8572228939),685,20240630,22010660,남산3동
중부-남산-하1-1-60,2,대구광역시,중구,27110,대구광역시 중구 남산로 2길 18,대구광역시 중구 남산3동 2121-10,35.8568543238,128.5838211,대광명사 앞,남산119안전센터,N,1988,3.1,중부소방서,053-601-4571,2024-02-07,POINT (128.5838211 35.8568543238),685,20240630,22010660,남산3동
중부-남산-상1-1-62,1,대구광역시,중구,27110,대구광역시 중구 명덕로 153,대구광역시 중구 남산3동 2117-10,35.8568781932,128.5869010818,현대모비스 앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5869010818 35.8568781932),685,20240630,22010660,남산3동
중부-남산-하1-1-63,2,대구광역시,중구,27110,대구광역시 중구 남산로2길 63,대구광역시 중구 남산3동 2228-3,35.857232051,128.5863111,뉴탑학원 앞,남산119안전센터,N,1991,3.8,중부소방서,053-601-4571,2024-02-07,POINT (128.5863111 35.857232051),685,20240630,22010660,남산3동
중부-남산-하1-1-64,2,대구광역시,중구,27110,대구광역시 중구 달구벌대로 2109-31,대구광역시 중구 덕산동 124-3,35.866723212,128.593808395,행복한 찻집 앞,남산119안전센터,N,1988,3.8,중부소방서,053-601-4571,2024-02-07,POINT (128.593808395 35.866723212),2911,20240630,22010560,성내1동
중부-남산-하1-1-65,2,대구광역시,중구,27110,대구광역시 중구 남산로 6안길 15,대구광역시 중구 남산3동 2217-14,35.85832111,128.5858357998,,남산119안전센터,N,1991,3.7,중부소방서,053-601-4571,2024-02-07,POINT (128.5858357998 35.85832111),685,20240630,22010660,남산3동
중부-남산-하1-1-66,2,대구광역시,중구,27110,대구광역시 중구 남산로 6길 48,대구광역시 중구 남산3동 2185-17,35.8585738671,128.587113442,한영전산 앞,남산119안전센터,N,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.587113442 35.8585738671),685,20240630,22010660,남산3동
중부-남산-하1-1-67,2,대구광역시,중구,27110,대구광역시 중구 명덕로 35길 11,대구광역시 중구 남산3동 2115-3,35.8574012325,128.5878956045,대성쇼바모터스 앞,남산119안전센터,N,1991,3.7,중부소방서,053-601-4571,2024-02-07,POINT (128.5878956045 35.8574012325),685,20240630,22010660,남산3동
중부-남산-하1-1-68,2,대구광역시,중구,27110,대구광역시 중구 명덕로 35길 69,대구광역시 중구 남산3동 595-10,35.85988111,128.5891245368,하이카프라자 앞,남산119안전센터,N,1988,3.7,중부소방서,053-601-4571,2024-02-07,POINT (128.5891245368 35.85988111),685,20240630,22010660,남산3동
중부-남산-상1-1-69,1,대구광역시,중구,27110,대구광역시 중구 중앙대로 61길 48,대구광역시 중구 남산3동 593-6,35.8608411447,128.5895739406,인쇄피아 앞,남산119안전센터,N,1988,4.3,중부소방서,053-601-4571,2024-02-07,POINT (128.5895739406 35.8608411447),685,20240630,22010660,남산3동
중부-남산-하1-1-70,2,대구광역시,중구,27110,대구광역시 중구 명륜로 12길 25,대구광역시 중구 남산3동 582-3,35.8625143785,128.5888937592,자석클럽 앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5888937592 35.8625143785),685,20240630,22010660,남산3동
중부-남산-하1-1-71,2,대구광역시,중구,27110,대구광역시 중구 명륜로 50,대구광역시 중구 남산2동 616-40,35.86226111,128.5899859068,바이오 빌딩 앞,남산119안전센터,N,1988,4.1,중부소방서,053-601-4571,2024-02-07,POINT (128.5899859068 35.86226111),3540,20240630,22010650,남산2동
중부-남산-상1-1-72,1,대구광역시,중구,27110,대구광역시 중구 명륜로 51,대구광역시 중구 남산2동 616-35,35.8621858649,128.5904011,청송막창 앞,남산119안전센터,N,1988,4.7,중부소방서,053-601-4571,2024-02-07,POINT (128.5904011 35.8621858649),3540,20240630,22010650,남산2동
중부-남산-하1-1-73,2,대구광역시,중구,27110,대구광역시 중구 명륜로 11길 20,대구광역시 중구 남산2동 620-23,35.8628503381,128.5908807486,오카디엘 앞,남산119안전센터,N,1988,4.5,중부소방서,053-601-4571,2024-02-07,POINT (128.5908807486 35.8628503381),3540,20240630,22010650,남산2동
중부-남산-하1-1-74,2,대구광역시,중구,27110,대구광역시 중구 관덕정길 63,대구광역시 중구 남산2동 648-3,35.8629251721,128.5912311,행운숯불갈비 앞,남산119안전센터,N,1991,4.3,중부소방서,053-601-4571,2024-02-07,POINT (128.5912311 35.8629251721),3540,20240630,22010650,남산2동
중부-남산-하1-1-75,2,대구광역시,중구,27110,대구광역시 중구 중앙대로 65길 17,대구광역시 중구 남산2동 698-18,35.8619846807,128.5918275607,라온모텔 앞,남산119안전센터,N,1988,4.5,중부소방서,053-601-4571,2024-02-07,POINT (128.5918275607 35.8619846807),3540,20240630,22010650,남산2동
중부-남산-하1-1-76,2,대구광역시,중구,27110,대구광역시 중구 중앙대로 65길 4,대구광역시 중구 남산2동 654-11,35.8619046341,128.5925311,대도서점 서편 2M,남산119안전센터,N,1971,4.3,중부소방서,053-601-4571,2024-02-07,POINT (128.5925311 35.8619046341),3540,20240630,22010650,남산2동
중부-남산-상1-1-77,1,대구광역시,중구,27110,대구광역시 중구 명륜로 69,대구광역시 중구 남산2동 651-18,35.8616515793,128.592265592,국민은행남산동지점 앞,남산119안전센터,N,2019,4.2,중부소방서,053-601-4571,2024-02-07,POINT (128.592265592 35.8616515793),3540,20240630,22010650,남산2동
중부-남산-하1-1-78,2,대구광역시,중구,27110,대구광역시 중구 중앙대로 333,대구광역시 중구 남산2동 661-10,35.8628951679,128.5928697877,신창당 안경 앞,남산119안전센터,N,1991,4.2,중부소방서,053-601-4571,2024-02-07,POINT (128.5928697877 35.8628951679),3540,20240630,22010650,남산2동
중부-남산-하1-1-79,2,대구광역시,중구,27110,대구광역시 중구 중앙대로 67길 15-4,대구광역시 중구 남산2동 663-14,35.86316111,128.5920211,삼정그린부동산앞,남산119안전센터,N,1991,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5920211 35.86316111),3540,20240630,22010650,남산2동
중부-남산-하1-1-80,2,대구광역시,중구,27110,대구광역시 중구 중앙대로 353-1,대구광역시 중구 남산2동 929-13,35.86462111,128.5930049578,동화불교사 앞,남산119안전센터,N,1971,4.1,중부소방서,053-601-4571,2024-02-07,POINT (128.5930049578 35.86462111),3540,20240630,22010650,남산2동
중부-남산-하1-1-81,2,대구광역시,중구,27110,대구광역시 중구 달구벌대로 2090,대구광역시 중구 남산2동 936-1,35.8653887675,128.5920848477,유안타 증권 동편 3M,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5920848477 35.8653887675),3540,20240630,22010650,남산2동
중부-남산-상1-1-82,1,대구광역시,중구,27110,대구광역시 중구 문우관길 65,대구광역시 중구 남산2동 932-35,35.8643781266,128.5926292334,보현사 앞,남산119안전센터,N,2022,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5926292334 35.8643781266),3540,20240630,22010650,남산2동
중부-남산-하1-1-83,2,대구광역시,중구,27110,대구광역시 중구 관덕정길 26,대구광역시 중구 남산2동 628-19,35.86453111,128.5907511857,남산교회 남편10M,남산119안전센터,N,1991,4.2,중부소방서,053-601-4571,2024-02-07,POINT (128.5907511857 35.86453111),3540,20240630,22010650,남산2동
중부-남산-하1-1-84,2,대구광역시,중구,27110,대구광역시 중구 달구벌대로 2076,대구광역시 중구 남산2동 536,35.865695815,128.5906544375,HANDS COFFEE 앞,남산119안전센터,N,1988,3.6,중부소방서,053-601-4571,2024-02-07,POINT (128.5906544375 35.865695815),3540,20240630,22010650,남산2동
중부-남산-하1-1-85,2,대구광역시,중구,27110,대구광역시 중구 달구벌대로414길 16-17,대구광역시 중구 남산2동 403,35.8656810059,128.5891511,남산골식당 옆,남산119안전센터,N,1991,4.1,중부소방서,053-601-4571,2024-02-07,POINT (128.5891511 35.8656810059),3540,20240630,22010650,남산2동
중부-남산-하1-1-86,2,대구광역시,중구,27110,대구광역시 중구 달구벌대로 2052,대구광역시 중구 남산2동 388,35.866158171,128.5881911,ROBOS Gallrey 앞,남산119안전센터,N,1988,3.6,중부소방서,053-601-4571,2024-02-07,POINT (128.5881911 35.866158171),3540,20240630,22010650,남산2동
중부-남산-하1-1-87,2,대구광역시,중구,27110,대구광역시 중구 문우관길 17,대구광역시 중구 남산2동 568-21,35.8644483425,128.5899411,대광기획인쇄 앞,남산119안전센터,N,1991,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5899411 35.8644483425),3540,20240630,22010650,남산2동
중부-남산-상1-1-88,1,대구광역시,중구,27110,대구광역시 중구 명륜로 23,대구광역시 중구 남산2동 571-1,35.8643687045,128.589135919,경성 인쇄 앞,남산119안전센터,N,1971,4.2,중부소방서,053-601-4571,2024-02-07,POINT (128.589135919 35.8643687045),3540,20240630,22010650,남산2동
중부-남산-상1-1-89,1,대구광역시,중구,27110,대구광역시 중구 명륜로 2-1,대구광역시 중구 남산2동 331-5,35.86595111,128.5878711,장동각 중국집 앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5878711 35.86595111),3540,20240630,22010650,남산2동
중부-남산-하1-1-90,2,대구광역시,중구,27110,대구광역시 중구 명륜로 28,대구광역시 중구 남산2동 573-3,35.86380111,128.5890374124,삼호다방 앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5890374124 35.86380111),3540,20240630,22010650,남산2동
중부-남산-하1-1-91,2,대구광역시,중구,27110,대구광역시 중구 명륜로 8-8,대구광역시 중구 남산2동 321,35.8657292497,128.5877111,Newlook 디자인센터 옆 골목,남산119안전센터,N,1988,,중부소방서,053-601-4571,2024-02-07,POINT (128.5877111 35.8657292497),3540,20240630,22010650,남산2동
중부-남산-하1-1-92,2,대구광역시,중구,27110,대구광역시 중구 달구벌대로 2042,대구광역시 중구 남산2동 279,35.8660637059,128.5872111018,중구선거관리 위원회 앞,남산119안전센터,N,1991,,중부소방서,053-601-4571,2024-02-07,POINT (128.5872111018 35.8660637059),3540,20240630,22010650,남산2동
중부-남산-상1-1-93,1,대구광역시,중구,27110,대구광역시 중구 재마루길 31,대구광역시 중구 남산2동 177-1,35.8647615265,128.5866711,일선재단 앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5866711 35.8647615265),3540,20240630,22010650,남산2동
중부-남산-상1-1-95,1,대구광역시,중구,27110,대구광역시 중구 재마루길 76,대구광역시 중구 남산2동 134-7,35.864340461,128.5844311,다인상회 앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5844311 35.864340461),3540,20240630,22010650,남산2동
중부-남산-상1-1-97,1,대구광역시,중구,27110,대구광역시 중구 달구벌대로 2014,대구광역시 중구 남산2동 151-95,35.86525111,128.5842958051,현수막 제일사 앞,남산119안전센터,N,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5842958051 35.86525111),3540,20240630,22010650,남산2동
중부-남산-상1-1-99,1,대구광역시,중구,27110,대구광역시 중구 남산로 4길 153,대구광역시 중구 남산2동 187,35.863568392,128.5866311,성 바오로서원 맞은편,남산119안전센터,N,1988,4.4,중부소방서,053-601-4571,2024-02-07,POINT (128.5866311 35.863568392),3540,20240630,22010650,남산2동
중부-남산-하1-1-100,1,대구광역시,중구,27110,대구광역시 중구 남산로4길 111,대구광역시 중구 남산동 190-1,35.8623203425,128.586058746,샬트르성바오로 수녀원 앞 40M,남산119안전센터,N,2022,4.1,중부소방서,053-601-4571,2024-02-07,POINT (128.586058746 35.8623203425),685,20240630,22010660,남산3동
중부-남산-하1-1-101,2,대구광역시,중구,27110,대구광역시 중구 국채보상로 102길 57,대구광역시 중구 동산동 236,35.8681346477,128.5867411,한국타이어앞,남산119안전센터,N,1988,3.7,중부소방서,053-601-4571,2024-02-07,POINT (128.5867411 35.8681346477),2595,20240630,22010590,성내2동
중부-남산-상1-1-102,1,대구광역시,중구,27110,대구광역시 중구 서성로 25,대구광역시 중구 계산1가 71-2,35.86879111,128.58689564,계산수석 앞,남산119안전센터,Y,1991,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.58689564 35.86879111),2595,20240630,22010590,성내2동
중부-남산-상1-1-103,1,대구광역시,중구,27110,대구광역시 중구 서성로 31-8,대구광역시 중구 계산1가 50-3,35.86937111,128.5867011,대호유료주차장 입구 앞,남산119안전센터,N,1988,3.9,중부소방서,053-601-4571,2024-02-07,POINT (128.5867011 35.86937111),2595,20240630,22010590,성내2동
중부-남산-하1-1-104,2,대구광역시,중구,27110,대구광역시 중구 국채보상로 102길 5-33,대구광역시 중구 계산1가 34,35.8698332064,128.585995805,선모텔 앞,남산119안전센터,N,1988,4.1,중부소방서,053-601-4571,2024-02-07,POINT (128.585995805 35.8698332064),2595,20240630,22010590,성내2동
중부-남산-하1-1-105,2,대구광역시,중구,27110,대구광역시 중구 국채보상로 500,대구광역시 중구 계산1가 2-9,35.8702237493,128.5854644082,우리은행동산동지점 맞은 편,남산119안전센터,N,1988,3.6,중부소방서,053-601-4571,2024-02-07,POINT (128.5854644082 35.8702237493),2595,20240630,22010590,성내2동
중부-남산-상1-1-106,1,대구광역시,중구,27110,대구광역시 중구 국채보상로 504,대구광역시 중구 계산1가 8-1,35.8701839025,128.5857659763,솔 렌트카앞,남산119안전센터,N,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5857659763 35.8701839025),2595,20240630,22010590,성내2동
중부-남산-상1-1-107,1,대구광역시,중구,27110,대구광역시 중구 서성로 20,대구광역시 중구 계산2가 71,35.8723381155,128.5862483504,매일신문사 앞,남산119안전센터,Y,1971,4.2,중부소방서,053-601-4571,2024-02-07,POINT (128.5862483504 35.8723381155),2596,20240630,22010610,성내3동
중부-남산-하1-1-108,2,대구광역시,중구,27110,대구광역시 중구 서성로 20,대구광역시 중구 계산2가 71,35.8723381155,128.5862483504,매일신문사 남편 15M,남산119안전센터,N,1988,3.8,중부소방서,053-601-4571,2024-02-07,POINT (128.5862483504 35.8723381155),2596,20240630,22010610,성내3동
